time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x_pose,y_pose,z_pose,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,c
2023/02/19/19:15:41.775666,0,1814896,293585439,map,0.01089377,9.80164814,14.89385033,0.000101643,0.002633594,-0.70709967,-0.707109088,0
2023/02/19/19:15:41.811467,1,1814896,334250498,map,0.012584649,9.80160141,14.89023209,-0.000177625,0.00317052,-0.707144072,-0.70706241,0
2023/02/19/19:15:41.843602,2,1814896,366250498,map,0.013956666,9.801872253,14.88753605,-0.000263623,0.003346745,-0.707138111,-0.707067528,0
2023/02/19/19:15:41.875626,3,1814896,398250498,map,0.015406368,9.802312851,14.88489628,-0.000451428,0.00388179,-0.707123704,-0.707079069,0
2023/02/19/19:15:41.911653,4,1814896,430913986,map,0.016821567,9.803107262,14.88252258,-0.000931126,0.004381688,-0.707079484,-0.707120001,0
2023/02/19/19:15:41.943130,5,1814896,462913986,map,0.018225633,9.804114342,14.88020611,-0.000971858,0.004659436,-0.707037243,-0.707160304,0
2023/02/19/19:15:41.975566,6,1814896,494913986,map,0.019604685,9.805353165,14.87804222,-0.001256078,0.005149906,-0.7070245,-0.707169337,0
2023/02/19/19:15:42.015501,7,1814896,535575742,map,0.021274902,9.807177544,14.87556076,-0.001516001,0.005600665,-0.707076513,-0.707113363,0
2023/02/19/19:15:42.047484,8,1814896,567575742,map,0.022630509,9.80883503,14.87373924,-0.001653014,0.005846919,-0.707131143,-0.707056289,0
2023/02/19/19:15:42.079187,9,1814896,599575742,map,0.023987604,9.810633659,14.87200642,-0.001977897,0.006261009,-0.707118191,-0.707065025,0
2023/02/19/19:15:42.115091,10,1814896,632247437,map,0.025286423,9.812687874,14.87052822,-0.002196817,0.0066574,-0.707108467,-0.707070367,0
2023/02/19/19:15:42.147173,11,1814896,664247437,map,0.026606534,9.814875603,14.86902428,-0.002267949,0.006863909,-0.707105006,-0.707071636,0
2023/02/19/19:15:42.179143,12,1814896,696247437,map,0.027900644,9.817322731,14.86769581,-0.002710539,0.007285727,-0.707110103,-0.707060807,0
2023/02/19/19:15:42.215535,13,1814896,736918038,map,0.029478462,9.820696831,14.86628342,-0.002986292,0.007713932,-0.707133271,-0.707032076,0
2023/02/19/19:15:42.247235,14,1814896,768918038,map,0.03076352,9.823565483,14.86518764,-0.003199356,0.007923864,-0.707128669,-0.70703339,0
2023/02/19/19:15:42.279100,15,1814896,800918038,map,0.032014523,9.826638222,14.86430168,-0.003649596,0.008450547,-0.707169637,-0.706984161,0
2023/02/19/19:15:42.315296,16,1814896,833586950,map,0.033243909,9.829907417,14.86357212,-0.004104523,0.00883624,-0.707234273,-0.706912107,0
2023/02/19/19:15:42.347405,17,1814896,865586950,map,0.034491464,9.83333683,14.86284733,-0.004321807,0.009038867,-0.707193144,-0.706949527,0
2023/02/19/19:15:42.379394,18,1814896,897586950,map,0.035703961,9.836956978,14.86226559,-0.004674547,0.009425507,-0.707172485,-0.706962937,0
2023/02/19/19:15:42.415477,19,1814896,938253934,map,0.037231401,9.841706276,14.86167908,-0.005153511,0.010013807,-0.707126368,-0.706997506,0
2023/02/19/19:15:42.447511,20,1814896,970253934,map,0.038443215,9.845645905,14.86132717,-0.005339137,0.010232015,-0.707138349,-0.706981057,0
2023/02/19/19:15:42.479471,21,1814897,2253934,map,0.039572205,9.849737167,14.86118412,-0.005725963,0.010579611,-0.707208579,-0.706902735,1
2023/02/19/19:15:42.515097,22,1814897,34919198,map,0.040733378,9.853983879,14.86099625,-0.006013178,0.010974121,-0.707154674,-0.706948211,1
2023/02/19/19:15:42.547251,23,1814897,66919198,map,0.041835282,9.858323097,14.86090374,-0.006292753,0.011141816,-0.707137795,-0.706960116,1
2023/02/19/19:15:42.578946,24,1814897,98919198,map,0.042876482,9.862732887,14.86093044,-0.006661012,0.011547511,-0.70714611,-0.706941939,1
2023/02/19/19:15:42.615613,25,1814897,139582528,map,0.044170488,9.868393898,14.86099148,-0.007064255,0.01182648,-0.707111859,-0.706967507,1
2023/02/19/19:15:42.647484,26,1814897,171582528,map,0.045092072,9.873042107,14.86122894,-0.007338785,0.011999879,-0.707115774,-0.706957861,1
2023/02/19/19:15:42.679272,27,1814897,203582528,map,0.045958005,9.877783775,14.86161613,-0.007675365,0.012407744,-0.707084106,-0.706978908,1
2023/02/19/19:15:42.719658,28,1814897,236244737,map,0.046826851,9.882600784,14.86203003,-0.00804647,0.012645217,-0.70707809,-0.706976663,1
