time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.coordinate_frame,.type_mask,x_pose,y_pose,z_pose,.velocity.x,.velocity.y,.velocity.z,.acceleration_or_force.x,.acceleration_or_force.y,.acceleration_or_force.z,.yaw,.yaw_rate
2023/02/22/20:32:44.784496,2447,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:44.834480,2448,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:44.884486,2449,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:44.934510,2450,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:44.984388,2451,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.034488,2452,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.084519,2453,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.134410,2454,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.184402,2455,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.234452,2456,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.284381,2457,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.334580,2458,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.384745,2459,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.434547,2460,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.484715,2461,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.534610,2462,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.584564,2463,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.634655,2464,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.684579,2465,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.734608,2466,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.784618,2467,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.834649,2468,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.884549,2469,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.934658,2470,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:45.984566,2471,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
2023/02/22/20:32:46.034522,2472,0,0,,1,504,0,10,10,0,0,0,0,0,0,1.570796013,0
